Alpha,Colour,Date,Goals Conceded,Goals Scored,ID1,ID2,Location,Location 2,NA,Na 1,Piece,Result,Result 2,Score,Team Against,Level,Linetype,Number of Records,Size,X,Y
NA,#d02320,,,,1,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.45454545,83.701701
NA,#d02320,,,,2,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.43537964,83.83838384
NA,#d02320,,,,3,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.38839913,84.34343434
NA,#d02320,,,,4,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.36550145,84.84848485
NA,#d02320,,,,5,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.36279159,85.35353535
NA,#d02320,,,,6,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.3808683,85.85858586
NA,#d02320,,,,7,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.42496691,86.36363636
NA,#d02320,,,,8,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.45454545,86.56846151
NA,#d02320,,,,9,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.5006261,86.86868687
NA,#d02320,,,,10,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.57575758,87.20103934
NA,#d02320,,,,11,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.62294646,87.37373737
NA,#d02320,,,,12,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.6969697,87.59811894
NA,#d02320,,,,13,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.81818182,87.87738088
NA,#d02320,,,,14,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.81886623,87.87878788
NA,#d02320,,,,15,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,15.93939394,88.12701521
NA,#d02320,,,,16,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.06060606,88.34621341
NA,#d02320,,,,17,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.07922121,88.38383838
NA,#d02320,,,,18,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.18181818,88.61089213
NA,#d02320,,,,19,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.3030303,88.88813339
NA,#d02320,,,,20,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.30331222,88.88888889
NA,#d02320,,,,21,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.42424242,89.24364638
NA,#d02320,,,,22,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.47683104,89.39393939
NA,#d02320,,,,23,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.54545455,89.62007027
NA,#d02320,,,,24,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.63662543,89.8989899
NA,#d02320,,,,25,,,away from home,1-001,1,1,,,,,0.005,1,1,0.5,16.66666667,90.01644299
